sentiment_score,cluster,death,damage,rescue,collapse
-0.125,2,0,0,0,0
0.25,1,0,0,0,0
-0.06666666666666667,2,0,0,0,0
0.4,1,0,0,0,0
0.0,1,0,0,0,0
0.037012987012987004,3,0,0,0,0
0.042857142857142864,3,0,0,0,0
0.0,1,0,0,0,0
-0.2,1,0,0,0,1
0.2125,1,0,0,0,0
0.18125,1,0,0,0,0
0.15238095238095237,1,0,0,0,0
0.20833333333333334,0,0,0,0,0
-0.06666666666666667,3,0,0,0,0
0.15714285714285717,1,0,0,0,0
0.1,1,0,0,0,0
-0.16250000000000003,2,0,0,0,0
-0.07916666666666666,1,0,0,0,0
0.25,1,0,0,0,0
-0.03333333333333336,3,0,0,0,0
0.08000000000000002,3,0,0,0,0
0.1619047619047619,1,0,0,0,0
-0.06060606060606061,3,0,0,0,0
0.25,2,0,0,0,0
0.15625,1,0,0,0,0
0.10393939393939393,3,0,0,0,0
0.0625,3,0,0,0,0
0.3666666666666667,1,0,0,0,0
0.2977777777777778,1,0,0,0,0
0.0625,1,0,0,0,0
