image_path,brightness,contrast,edge_density,darkness,damage_proxy,cluster,person_count,total_objects
output_photos/images\img_0087.jpg,161.57335155490767,66.94476121156951,0.15185686519505762,93.42664844509233,0.38998194025140565,3,0,1
output_photos/images\img_0089.jpg,80.5436675925926,44.08815158075947,0.04445,174.4563324074074,0.3347502910493406,1,4,5
output_photos/images\img_0091.jpg,130.88391017631542,81.77641261754864,0.09272455921143968,124.11608982368458,0.43934556783846346,2,0,4
output_photos/images\img_0092.jpg,139.97031425891183,62.958601571309835,0.11045497185741088,115.02968574108817,0.3760076724140255,3,0,0
output_photos/images\img_0093.jpg,134.79147621285261,58.55918403799109,0.19167129451635412,120.20852378714739,0.40657101787390854,0,1,1
output_photos/images\img_0095.jpg,122.961633952006,62.714138550922826,0.12472215973003374,132.038366047994,0.3982334281859493,0,1,1
output_photos/images\img_0097.jpg,133.86845016479492,64.05137563009694,0.16857782999674478,121.13154983520508,0.41447933426245703,0,3,7
output_photos/images\img_0098.jpg,146.4055263888889,66.42386935861337,0.10884097222222222,108.59447361111111,0.380907450015308,3,3,3
output_photos/images\img_0100.jpg,130.1115515542417,63.618347262422645,0.1635593030547344,124.88844844575831,0.41402062261996575,0,2,2
output_photos/images\img_0102.jpg,161.7171626984127,68.86940112844738,0.08538888888888889,93.2828373015873,0.3631282731560876,3,1,1
output_photos/images\img_0104.jpg,111.38982936507936,65.911541710729,0.19885317460317462,143.61017063492062,0.4569530764882397,0,0,0
output_photos/images\img_0105.jpg,94.42528518518519,49.37161240554746,0.09029259259259259,160.5747148148148,0.3625633284516159,1,1,1
output_photos/images\img_0106.jpg,117.624648,47.648587665772034,0.15556366666666666,137.37535200000002,0.3676524249930154,1,10,11
output_photos/images\img_0107.jpg,136.1885052223504,51.818859396215316,0.16072744457260027,118.81149477764961,0.36697544784921254,0,0,0
output_photos/images\img_0108.jpg,131.74367216117216,62.84197272496927,0.18086996336996336,123.25632783882784,0.4185202961790891,0,0,0
output_photos/images\img_0112.jpg,104.079219,66.21530861779652,0.06784,150.920781,0.399317279536351,1,0,0
output_photos/images\img_0115.jpg,118.37402937147353,59.28431780603285,0.1168272230360243,136.6259706285265,0.38696985956851465,1,0,1
output_photos/images\img_0116.jpg,91.18176779935276,51.105457296489384,0.11570266990291263,163.81823220064723,0.3841732944156706,1,0,0
output_photos/images\img_0118.jpg,142.05734388155756,81.31642097575171,0.0997140642063406,112.94265611844244,0.430825208067947,2,0,0
output_photos/images\img_0120.jpg,87.48397185465238,65.80594454220238,0.08163621088006721,167.5160281453476,0.42036239274774134,2,0,0
output_photos/images\img_0121.jpg,105.84600230685217,66.71432249635068,0.13812022170278354,149.15399769314783,0.43449289503024957,2,0,1
output_photos/images\img_0122.jpg,102.3837906894784,74.8776117568965,0.16467624631551966,152.61620931052158,0.4786442570653939,2,0,0
output_photos/images\img_0124.jpg,161.61038888888888,63.6420298058738,0.1810462962962963,93.38961111111112,0.39336221256956644,0,0,1
output_photos/images\img_0125.jpg,132.817161668589,62.9889837596906,0.1723215429962835,122.182838331411,0.4137389621747979,0,0,2
output_photos/images\img_0126.jpg,138.24941432535266,75.26195802682423,0.12173475999800622,116.75058567464734,0.42490526178197396,2,0,0
output_photos/images\img_0127.jpg,209.8850495922941,70.73558710601561,0.11140980401506843,45.11495040770589,0.3373719295668295,3,0,0
output_photos/images\img_0128.jpg,128.68449064449064,55.37522571513145,0.19082593082593083,126.31550935550936,0.4010865825126368,0,1,2
output_photos/images\img_0129.jpg,146.84983333333332,63.85174362738997,0.21868253968253967,108.15016666666668,0.42670570418018117,0,0,0
output_photos/images\img_0133.jpg,103.9551289868668,57.11983828012407,0.16328564727954972,151.04487101313322,0.4163679943717727,0,0,0
output_photos/images\img_0137.jpg,111.87002601908065,58.95343743889994,0.15901452732003468,143.12997398091935,0.4130310523225489,0,0,0
output_photos/images\img_0140.jpg,100.57392903121982,69.82448283504834,0.09901029932410686,154.42607096878018,0.43040037630540884,2,0,0
output_photos/images\img_0141.jpg,100.89688398062238,63.221335846073394,0.18170484714125407,154.10311601937764,0.44909365751919966,0,6,7
output_photos/images\img_0142.jpg,131.88446214463977,63.01989711019259,0.1519741482204861,123.11553785536023,0.40454288867100147,0,3,3
output_photos/images\img_0143.jpg,109.87248773448773,62.88429139505754,0.16740259740259741,145.12751226551228,0.4324007080567537,0,0,0
output_photos/images\img_0144.jpg,118.1010293672419,66.04807266426698,0.09640569179533758,136.8989706327581,0.3999099893131911,2,0,0
output_photos/images\img_0147.jpg,119.172168707483,74.03854398913718,0.015050340136054422,135.827831292517,0.3852775771702791,3,3,3
output_photos/images\img_0148.jpg,109.57189583333333,61.093977316282846,0.14794166666666667,145.42810416666669,0.41689135848376246,0,2,3
output_photos/images\img_0149.jpg,109.66458911564627,63.46250320578365,0.025885714285714286,145.33541088435373,0.3637941065532762,1,2,3
output_photos/images\img_0150.jpg,97.25260816326531,53.19623190072376,0.01630204081632653,157.7473918367347,0.3358681270337379,1,1,1
output_photos/images\img_0151.jpg,107.37748979591836,55.816357617139914,0.08398367346938776,147.62251020408164,0.3691014744917227,1,1,1
output_photos/images\img_0152.jpg,126.1091859861828,59.38555295491948,0.24826829778906456,128.8908140138172,0.4457931784378123,0,6,9
output_photos/images\img_0153.jpg,146.59049668525728,55.5317797188709,0.10066926233820898,108.40950331474272,0.33977864060095214,3,3,3
output_photos/images\img_0154.jpg,120.97303004651248,70.94650127294389,0.25026624068157616,134.02696995348754,0.4907333751687676,0,5,5
output_photos/images\img_0155.jpg,124.03316403156659,64.8878793500624,0.25315165251267485,130.96683596843343,0.4688033842941975,0,12,12
output_photos/images\img_0156.jpg,113.55395029875068,61.92433565920616,0.15689978272677893,141.4460497012493,0.4204540905572781,0,0,0
output_photos/images\img_0157.jpg,124.85389326453014,58.55339384408031,0.03344378055404671,130.14610673546986,0.33673897383588014,3,0,0
output_photos/images\img_0158.jpg,120.51014711033275,66.64170190607439,0.02785814360770578,134.48985288966725,0.3653907858537251,3,5,6
output_photos/images\img_0159.jpg,163.9398585266768,47.94554933412173,0.04478457471240903,91.0601414733232,0.26991829433230974,3,1,1
output_photos/images\img_0160.jpg,113.98550847457628,57.85044270580356,0.1124741054613936,141.01449152542372,0.38404715851188453,1,9,9
output_photos/images\img_0161.jpg,127.1134274952919,49.531607083810705,0.13774482109227873,127.8865725047081,0.3562357961430766,1,8,8
output_photos/images\img_0162.jpg,91.2478564648001,67.71678063299451,0.07907093060049608,163.7521435351999,0.42202505529249146,2,13,15
output_photos/images\img_0163.jpg,126.44051137570656,83.36308174550776,0.16242542764715417,128.55948862429344,0.4837257950328972,2,0,1
output_photos/images\img_0164.jpg,141.2314137523084,70.743965029035,0.017676824350512408,113.76858624769159,0.3547917726219181,3,6,6
output_photos/images\img_0165.jpg,113.07963554608922,64.35475779141677,0.11067420332596052,141.9203644539108,0.4060122488982101,2,7,7
output_photos/images\img_0166.jpg,88.65655744741737,68.00196748874038,0.07108795965087995,166.34344255258264,0.42142431686406456,2,8,9
output_photos/images\img_0167.jpg,135.7090694774401,75.35006721982204,0.09530961288149786,119.2909305225599,0.4143686337593473,2,4,6
output_photos/images\img_0168.jpg,138.22498475373874,66.11040728926443,0.1354550667649709,116.77501524626126,0.40081019415585356,0,4,4
output_photos/images\img_0169.jpg,112.87028381314504,64.24579445378671,0.18152906029331886,142.12971618685498,0.44126678308871525,0,0,0
output_photos/images\img_0170.jpg,94.92180952380953,66.55439177455327,0.053450340136054424,160.07819047619046,0.40184134054685605,1,1,1
output_photos/images\img_0171.jpg,69.40795965041248,49.99773369040624,0.09322878379482154,185.59204034958753,0.38956640056025443,1,15,15
output_photos/images\img_0172.jpg,140.11682594135425,67.86482776114251,0.016687086498407253,114.88317405864575,0.34559422110068205,3,3,3
